symbol,mcap_eur_bn,drop_reason,gross_margin,revenue_growth,name
TSLA,1370.7,gross_margin,0.19065,0.158,"Tesla, Inc."
BRK-B,888.1,gross_margin,0.2778,0.044,Berkshire Hathaway Inc. New
WMT,802.2,gross_margin,0.24976,0.073,Walmart Inc.
JPM,696.9,gross_margin,0.0,0.127,JP Morgan Chase & Co.
XOM,547.1,gross_margin,0.29768,0.026,Exxon Mobil Corporation
CAT,367.6,gross_margin,0.28601998,0.222,"Caterpillar, Inc."
COST,367.5,gross_margin,0.12876001,0.215,Costco Wholesale Corporation
BAC,321.0,gross_margin,0.0,0.081,Bank of America Corporation
UNH,298.5,gross_margin,0.18801,0.02,UnitedHealth Group Incorporated
HSBA.L,276.0,gross_margin,0.0,0.033,HSBC HOLDINGS PLC ORD $0.50 (UK
RO.SW,275.4,avg_volume,0.7449,-0.004,ROCHE I
NOVN.SW,235.6,revenue_growth,0.75554,-0.007,NOVARTIS N
DELL,234.8,gross_margin,0.19173999,0.875,Dell Technologies Inc.
MC.PA,227.7,revenue_growth,0.66242,-0.047,LVMH
QCOM,227.7,revenue_growth,0.54799,-0.035,QUALCOMM Incorporated
GEV,223.8,gross_margin,0.20282,0.163,GE Vernova Inc.
NESN.SW,216.2,revenue_growth,0.45826,-0.022,NESTLE N
SHEL.L,210.0,gross_margin,0.25858,0.007,SHELL PLC ORD EUR0.07
WFC,208.1,gross_margin,0.0,0.057,Wells Fargo & Company
RTX,202.4,gross_margin,0.20212999,0.087,RTX Corporation
C,191.7,gross_margin,0.0,0.159,"Citigroup, Inc."
SAN.MC,152.3,gross_margin,0.0,0.046,BANCO SANTANDER S.A.
RIO.L,151.8,gross_margin,0.28124002,0.146,RIO TINTO PLC ORD 10P
BA,144.9,gross_margin,0.048249997,0.14,Boeing Company (The)
ALV.DE,139.8,gross_margin,0.24341999,0.088,Allianz SE                    v
DE,137.4,gross_margin,0.25965,-0.111,Deere & Company
UBSG.SW,133.5,gross_margin,0.0,0.138,UBS GROUP N
AIR.PA,133.3,gross_margin,0.15366,-0.066,AIRBUS SE
IBE.MC,131.8,revenue_growth,0.53907,-0.045,ACCIONES IBERDROLA
COP,124.5,revenue_growth,0.45591,-0.053,ConocoPhillips
RR.L,120.7,gross_margin,0.27868,0.166,ROLLS-ROYCE HOLDINGS PLC ORD SH
IFX.DE,114.4,revenue_growth,0.41162,,INFINEON TECHNOLOGIES AG      N
LISN.SW,112.5,avg_volume,0.62784,0.075,LINDT N
