ticker,status,quoteType,isin,shortName,longName
1COV.DE,EQUITY,EQUITY,,Covestro AG                   I,Covestro AG
8TRA.DE,EQUITY,EQUITY,,TRATON SE                     I,Traton SE
A,EQUITY,EQUITY,US00846U1016,"Agilent Technologies, Inc.","Agilent Technologies, Inc."
AA,EQUITY,EQUITY,AU0000339426,Alcoa Corporation,Alcoa Corporation
AAL,EQUITY,EQUITY,,"American Airlines Group, Inc.",American Airlines Group Inc.
AAL.L,EQUITY,EQUITY,,ANGLO AMERICAN PLC ORD USD0.623,Anglo American plc
AAON,EQUITY,EQUITY,US0003602069,"AAON, Inc.","AAON, Inc."
AAPL,EQUITY,EQUITY,US0378331005,Apple Inc.,Apple Inc.
ABBN.SW,EQUITY,EQUITY,,ABB LTD N,ABB Ltd
ABBV,EQUITY,EQUITY,US00287Y1091,AbbVie Inc.,AbbVie Inc.
ABF.L,EQUITY,EQUITY,,ASSOCIATED BRITISH FOODS PLC OR,Associated British Foods plc
ABI.BR,EQUITY,EQUITY,,AB INBEV,Anheuser-Busch InBev SA/NV
ABN.AS,EQUITY,EQUITY,,ABN AMRO BANK N.V.,ABN AMRO Bank N.V.
ABNB,EQUITY,EQUITY,,"Airbnb, Inc.","Airbnb, Inc."
ABT,EQUITY,EQUITY,US0028241000,Abbott Laboratories,Abbott Laboratories
AC.PA,EQUITY,EQUITY,FR0014003PZ3,ACCOR,Accor SA
ACGL,EQUITY,EQUITY,BMG0450A1053,Arch Capital Group Ltd.,Arch Capital Group Ltd.
ACI,EQUITY,EQUITY,US0130911037,"Albertsons Companies, Inc.","Albertsons Companies, Inc."
ACM,EQUITY,EQUITY,US00766T1007,AECOM,AECOM
ACN,EQUITY,EQUITY,IE00B4BNMY34,Accenture plc,Accenture plc
ACS.MC,EQUITY,EQUITY,,"ACS,ACTIVIDADES DE CONSTRUCCION","ACS, Actividades de Construcción y Servicios, S.A."
