ticker,name,market_cap_eur_b,ttm_yoy,multiyear_cagr,down_years
AES,The AES Corporation,9.04,0.087,-0.010249740650209005,2
AGCO,AGCO Corporation,7.09,0.143,-0.07287981749893102,2
ALB,Albemarle Corporation,15.59,0.327,-0.11101948515436078,2
APD,"Air Products and Chemicals, Inc",54.51,0.088,-0.01766923192508929,3
ASH,Ashland Inc.,2.48,0.006,-0.08627588710574363,3
AVTR,"Avantor, Inc.",5.85,0.0,-0.044561332087320604,3
BATS.L,BRITISH AMERICAN TOBACCO PLC OR,112.82,0.001,-0.025282780251305703,3
BF-B,Brown Forman Inc,10.61,0.02,0.0035470274178923678,2
BMY,Bristol-Myers Squibb Company,99.78,0.026,0.01449177656319045,2
BRBY.L,BURBERRY GROUP PLC ORD 0.05P,4.65,0.009,-0.07863505324106668,3
CAR,"Avis Budget Group, Inc.",5.54,0.041,-0.04276152515868614,3
CAST.ST,Castellum AB,5.11,0.0,0.02423612077669901,2
CMC,Commercial Metals Company,7.27,0.215,-0.04356776135013685,3
CNA.L,CENTRICA PLC ORD 6 14/81P,9.77,-0.0,-0.06361927597519124,2
CRL,Charles River Laboratories Inte,7.91,0.012,0.0032857552523495315,2
CSX,CSX Corporation,76.0,0.017,-0.01737875164321634,3
CVX,Chevron Corporation,321.77,0.023,-0.07852874895364959,3
EL,"Estee Lauder Companies, Inc. (T",27.09,0.046,-0.06871717508347608,3
ENTG,"Entegris, Inc.",17.7,0.05,-0.008753232926965393,2
EOG,"EOG Resources, Inc.",63.28,0.156,-0.08514403108878366,2
FNTN.DE,freenet AG                    N,3.04,0.259,-0.0154659248375425,2
FORTUM.HE,Fortum Corporation,18.54,0.213,-0.1374393219455715,3
GALP.LS,GALP ENERGIA-NOM,15.44,0.048,-0.10089988914043058,2
GET.PA,GETLINK SE,9.93,0.124,-0.002288337517138972,2
GIS,"General Mills, Inc.",15.57,0.022,0.00859240120451843,2
GME,GameStop Corporation,8.65,0.141,-0.1507901432708295,3
GNRC,Generac Holdlings Inc.,13.29,0.124,-0.026671490695003963,2
GPK,Graphic Packaging Holding Compa,2.76,0.017,-0.02994870551122608,3
GPN,Global Payments Inc.,15.1,0.631,-0.0495682906305519,2
HLN.L,HALEON PLC ORD GBP0.01,34.27,0.006,0.005252646289397811,2
ILMN,"Illumina, Inc.",20.95,0.048,-0.01784113685972244,3
IMB.L,IMPERIAL BRANDS PLC ORD 10P,24.56,0.049,-0.0039065709267392945,3
INTC,Intel Corporation,469.24,0.072,-0.05712887978236014,3
JBHT,"J.B. Hunt Transport Services, I",23.43,0.046,-0.06783654566877806,3
KHC,The Kraft Heinz Company,24.03,0.008,-0.019809627469887126,2
KMB,Kimberly-Clark Corporation,28.87,0.027,-0.06583329792377168,3
LSTR,"Landstar System, Inc.",6.56,0.016,-0.13917110715072378,3
M,Macy's Inc,5.05,0.021,-0.0385050091641731,3
MAS,Masco Corporation,12.63,0.065,-0.04492168924034623,3
MAT,"Mattel, Inc.",3.64,0.043,-0.005368791615146473,2
MELE.BR,MELEXIS,3.11,0.019,0.0013772201966539832,2
MO,"Altria Group, Inc.",103.38,0.053,-0.008925128591255382,3
MSM,"MSC Industrial Direct Company, ",5.64,0.029,0.00696031217193771,2
MUR,Murphy Oil Corporation,4.79,0.089,-0.13940239705005508,3
NG.L,NATIONAL GRID PLC ORD 12 204/47,68.91,0.02,-0.06530068408234768,3
NKE,"Nike, Inc.",57.2,0.001,-0.002869856686446237,1
NXPI,NXP Semiconductors N.V.,64.96,0.122,-0.02420874805294959,2
NXST,"Nexstar Media Group, Inc.",4.74,0.131,-0.01704841596554718,2
ON,ON Semiconductor Corporation,39.35,0.047,-0.10369233936412636,3
PFE,"Pfizer, Inc.",126.72,0.054,-0.14797605157261928,2
POOL,Pool Corporation,6.07,0.062,-0.05053506371958916,3
PSKY,Paramount Skydance Corporation,9.91,0.022,0.007258458559833203,2
REP.MC,"REPSOL,  S.A.",25.08,0.084,-0.09959244025566194,3
