ticker,name,gics_sector,gics_industry,market_cap_eur_b,gross_margin,revenue_growth_yoy,gm_clearance,large_cap_review,trend_class,multiyear_cagr,down_years,n_years
8TRA.DE,TRATON SE                     I,Industrials,Farm & Heavy Construction Machinery,16.75,0.16899,-0.035,RELATIVE_RESCUE,True,SINGLE_YEAR_DIP,0.0298,1,4
ACX.MC,"ACERINOX, S.A.",Basic Materials,Steel,4.01,0.34697,-0.108,ABSOLUTE_PASS,False,RECOVERED,-0.127,2,4
AFX.DE,Carl Zeiss Meditec AG         I,Healthcare,Medical Instruments & Supplies,2.24,0.51284003,-0.064,ABSOLUTE_PASS,False,RECOVERED,0.0539,1,4
AI.PA,AIR LIQUIDE,Basic Materials,Specialty Chemicals,107.21,0.64175004,-0.034,ABSOLUTE_PASS,True,MULTI_YEAR_DECLINE,-0.0345,3,4
AIR.PA,AIRBUS SE,Industrials,Aerospace & Defense,137.61,0.15366,-0.066,RELATIVE_RESCUE,True,RECOVERED,0.0771,0,4
AIXA.DE,AIXTRON SE                    N,Technology,Semiconductor Equipment & Materials,6.13,0.39529,-0.472,ABSOLUTE_PASS,False,SINGLE_YEAR_DIP,0.0631,1,4
AKE.PA,ARKEMA,Basic Materials,Specialty Chemicals,4.34,0.17554002,-0.084,RELATIVE_RESCUE,False,MULTI_YEAR_DECLINE,-0.0775,2,4
AKRBP.OL,AKER BP,Energy,Oil & Gas E&P,20.07,0.89553,-0.047,ABSOLUTE_PASS,True,MULTI_YEAR_DECLINE,-0.0604,2,4
AKZA.AS,AKZO NOBEL,Basic Materials,Specialty Chemicals,9.91,0.40066,-0.087,ABSOLUTE_PASS,False,MULTI_YEAR_DECLINE,-0.0216,2,4
ALFA.ST,Alfa Laval AB,Industrials,Specialty Industrial Machinery,19.88,0.36625,-0.033,ABSOLUTE_PASS,True,RECOVERED,0.1015,0,4
ALLFG.AS,ALLFUNDS GROUP PLC,Financial Services,Asset Management,5.17,0.76448995,-0.049,ABSOLUTE_PASS,False,MULTI_YEAR_DECLINE,-0.3809,2,4
ANA.MC,"ACCIONA, S.A.",Industrials,Engineering & Construction,12.84,0.69632006,-0.017,ABSOLUTE_PASS,True,RECOVERED,0.2181,0,4
ANE.MC,CORPORACI...N ACCIONA ENERG...A,Utilities,Utilities - Renewable,6.91,0.59196,-0.183,ABSOLUTE_PASS,False,MULTI_YEAR_DECLINE,-0.124,3,4
AOS,A.O. Smith Corporation,Industrials,Specialty Industrial Machinery,7.06,0.38764998,-0.019,ABSOLUTE_PASS,False,RECOVERED,0.0067,1,4
APA,APA Corporation,Energy,Oil & Gas E&P,11.19,0.72273004,-0.119,ABSOLUTE_PASS,True,MULTI_YEAR_DECLINE,-0.0696,2,4
APO,"Apollo Global Management, Inc. ",Financial Services,Asset Management,66.18,0.35222,-0.092,ABSOLUTE_PASS,True,RECOVERED,0.4296,1,4
ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Biotechnology,8.94,1.0,-0.864,ABSOLUTE_PASS,False,RECOVERED,0.5052,2,4
ASSA-B.ST,ASSA ABLOY AB ser. B,Industrials,Security & Protection Services,33.26,0.43120998,-0.058,ABSOLUTE_PASS,True,RECOVERED,0.0806,0,4
AT1.DE,Aroundtown SA                 B,Real Estate,Real Estate Services,2.33,0.64491,-0.012,ABSOLUTE_PASS,False,RECOVERED,-0.0108,2,4
ATCO-A.ST,Atlas Copco AB ser. A,Industrials,Specialty Industrial Machinery,79.58,0.42635,-0.051,ABSOLUTE_PASS,True,SINGLE_YEAR_DIP,0.06,1,4
AXTA,Axalta Coating Systems Ltd.,Basic Materials,Specialty Chemicals,6.08,0.34155,-0.006,ABSOLUTE_PASS,False,SINGLE_YEAR_DIP,0.0157,1,4
AZE.BR,AZELIS GROUP NV,Basic Materials,Specialty Chemicals,2.54,0.23031001,-0.056,RELATIVE_RESCUE,False,SINGLE_YEAR_DIP,0.0006,1,4
BAYN.DE,Bayer AG                      N,Healthcare,Drug Manufacturers - General,34.86,0.59918,-0.024,ABSOLUTE_PASS,True,MULTI_YEAR_DECLINE,-0.0351,3,4
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,Specialty Retail,3.19,0.4323,-0.032,ABSOLUTE_PASS,False,MULTI_YEAR_DECLINE,-0.012,3,4
BEI.DE,BEIERSDORF AG                 I,Consumer Defensive,Household & Personal Products,15.24,0.57714003,-0.002,ABSOLUTE_PASS,True,RECOVERED,0.0384,0,4
BKG.L,BERKELEY GROUP HOLDINGS (THE) P,Consumer Cyclical,Residential Construction,3.68,0.26844,-0.078,RELATIVE_RESCUE,False,RECOVERED,0.0193,1,4
BKH,Black Hills Corporation,Utilities,Utilities - Regulated Gas,4.46,0.39016,-0.03,ABSOLUTE_PASS,False,RECOVERED,-0.0326,2,4
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,7.22,0.29888,-0.101,RELATIVE_RESCUE,False,MULTI_YEAR_DECLINE,-0.1257,3,4
BMW.DE,BAYERISCHE MOTOREN WERKE AG   S,Consumer Cyclical,Auto Manufacturers,41.55,0.13136,-0.081,RELATIVE_RESCUE,True,MULTI_YEAR_DECLINE,-0.0219,2,4
BN.PA,DANONE,Consumer Defensive,Packaged Foods,42.55,0.50618,-0.005,ABSOLUTE_PASS,True,MULTI_YEAR_DECLINE,-0.0046,3,4
BNR.DE,Brenntag SE                   N,Basic Materials,Specialty Chemicals,8.06,0.25483,-0.101,RELATIVE_RESCUE,False,MULTI_YEAR_DECLINE,-0.0791,3,4
BOSS.DE,HUGO BOSS AG                  N,Consumer Cyclical,Apparel Manufacturing,2.53,0.61745,-0.094,ABSOLUTE_PASS,False,SINGLE_YEAR_DIP,0.0535,1,4
BT-A.L,BT GROUP PLC ORD 5P,Communication Services,Telecom Services,22.53,0.47145998,-0.039,ABSOLUTE_PASS,True,MULTI_YEAR_DECLINE,-0.0079,2,4
CA.PA,CARREFOUR,Consumer Defensive,Grocery Stores,11.52,0.17942,,RELATIVE_RESCUE,True,RECOVERED,0.0037,1,4
CAG,"ConAgra Brands, Inc.",Consumer Defensive,Packaged Foods,5.44,0.24274999,-0.019,RELATIVE_RESCUE,False,MULTI_YEAR_DECLINE,0.0022,2,4
CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,3.77,0.25231,-0.034,RELATIVE_RESCUE,False,MULTI_YEAR_DECLINE,-0.0493,2,4
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,18.35,0.55346,-0.01,ABSOLUTE_PASS,True,SINGLE_YEAR_DIP,0.0046,1,4
CLN.SW,CLARIANT N,Basic Materials,Specialty Chemicals,2.59,0.31188,-0.071,ABSOLUTE_PASS,False,MULTI_YEAR_DECLINE,-0.0902,3,4
CNH,CNH Industrial N.V.,Industrials,Farm & Heavy Construction Machinery,11.52,0.18482,-0.001,RELATIVE_RESCUE,True,MULTI_YEAR_DECLINE,-0.0841,2,4
CNM,"Core & Main, Inc.",Industrials,Industrial Distribution,8.87,0.26926002,-0.069,RELATIVE_RESCUE,False,RECOVERED,0.0476,0,4
COIN,"Coinbase Global, Inc.",Financial Services,Financial Data & Stock Exchanges,35.44,0.85475,-0.308,ABSOLUTE_PASS,True,RECOVERED,0.31,1,4
CON.DE,CONTINENTAL AG                I,Consumer Cyclical,Auto Parts,13.67,0.26707,-0.104,RELATIVE_RESCUE,True,MULTI_YEAR_DECLINE,-0.2067,2,4
COP,ConocoPhillips,Energy,Oil & Gas E&P,123.09,0.45591,-0.053,ABSOLUTE_PASS,True,RECOVERED,-0.0911,2,4
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods,5.71,0.292,-0.044,RELATIVE_RESCUE,False,RECOVERED,0.0619,0,4
CPR.MI,CAMPARI,Consumer Defensive,Beverages - Wineries & Distilleries,6.61,0.60307,-0.028,ABSOLUTE_PASS,False,SINGLE_YEAR_DIP,0.0419,1,4
CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,5.49,0.58101004,-0.017,ABSOLUTE_PASS,False,SINGLE_YEAR_DIP,0.0436,1,4
CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,12.17,0.35571,-0.04,ABSOLUTE_PASS,True,RECOVERED,-0.027,1,4
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,134.9,0.25965,-0.111,RELATIVE_RESCUE,True,MULTI_YEAR_DECLINE,-0.045,2,4
DGE.L,DIAGEO PLC ORD 28 101/108P,Consumer Defensive,Beverages - Wineries & Distilleries,38.37,0.60003,-0.04,ABSOLUTE_PASS,True,MULTI_YEAR_DECLINE,-0.0044,2,4
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,37.06,0.21597,-0.023,RELATIVE_RESCUE,True,SINGLE_YEAR_DIP,0.0076,1,4
DHL.DE,DEUTSCHE POST AG              N,Industrials,Integrated Freight & Logistics,57.73,0.17523001,-0.019,RELATIVE_RESCUE,True,MULTI_YEAR_DECLINE,-0.0427,2,4
DIA.MC,DISTRIBUIDORA INTERNACIONAL DE ,Consumer Defensive,Discount Stores,2.29,0.24781,-0.043,RELATIVE_RESCUE,False,MULTI_YEAR_DECLINE,-0.0129,2,4
DSFIR.AS,DSM FIRMENICH AG,Basic Materials,Specialty Chemicals,17.62,0.39075002,,ABSOLUTE_PASS,True,MULTI_YEAR_DECLINE,0.025,2,4
DTG.DE,Daimler Truck Holding AG      N,Industrials,Farm & Heavy Construction Machinery,31.54,0.17694001,-0.133,RELATIVE_RESCUE,True,MULTI_YEAR_DECLINE,-0.0368,2,4
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,43.97,0.46929002,-0.008,ABSOLUTE_PASS,True,RECOVERED,-0.0357,1,4
